,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,ham_f1,ham_f1,ham_f1,ham_f1,ham_f1,ham_f1,ham_precision,ham_precision,ham_precision,ham_precision,ham_precision,ham_precision,ham_recall,ham_recall,ham_recall,ham_recall,ham_recall,ham_recall,macro_f1,macro_f1,macro_f1,macro_f1,macro_f1,macro_f1,macro_precision,macro_precision,macro_precision,macro_precision,macro_precision,macro_precision,macro_recall,macro_recall,macro_recall,macro_recall,macro_recall,macro_recall,smishing_f1,smishing_f1,smishing_f1,smishing_f1,smishing_f1,smishing_f1,smishing_precision,smishing_precision,smishing_precision,smishing_precision,smishing_precision,smishing_precision,smishing_recall,smishing_recall,smishing_recall,smishing_recall,smishing_recall,smishing_recall,spam_f1,spam_f1,spam_f1,spam_f1,spam_f1,spam_f1,spam_precision,spam_precision,spam_precision,spam_precision,spam_precision,spam_precision,spam_recall,spam_recall,spam_recall,spam_recall,spam_recall,spam_recall
,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std
model_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LinearSVC,0.8081932773109244,0.9890756302521009,0.7041363211951447,0.9596638655462185,0.16218487394957984,0.3802008311473446,0.9963824289405685,0.999482669425763,0.6626752555925475,0.991264129245045,0.0,0.47121662906732986,0.9958677685950413,1.0,0.6601018781024214,0.9837067209775967,0.0,0.46941477459165787,0.9987073422957601,1.0,0.665287831782144,0.9968976215098242,0.0,0.4730661605130218,0.6398926263825089,0.9613959909119059,0.7017935086487322,0.8729762340207738,0.27065048906943184,0.2944375106442938,0.7098060244564053,0.9642240556831786,0.6857645391615683,0.8933725760710975,0.19958127669437317,0.3321704547637297,0.3250774931829633,0.960790948290815,0.7985652191263243,0.8550761419315455,0.5691103474608629,0.1474985759927036,0.1812622680793724,0.9644268774703557,0.8417931479165796,0.8774703557312253,0.6685552407932012,0.09331300430300048,0.3214263272768705,0.967479674796748,0.7939094618152597,0.8768574980758984,0.5148936170212766,0.15798266503709688,0.07142857142857151,1.0,0.9220458553791887,0.9365079365079365,0.7777777777777778,0.047389282461812926,0.7330010844238901,0.9312169312169312,0.6009121224370696,0.7570491803278688,0.13533834586466165,0.3264794682905354,0.8085144314324901,0.9655172413793104,0.6032822775670238,0.8188131313131313,0.07445708376421924,0.37331130698755166,0.13144329896907214,0.9381443298969072,0.8083619702176403,0.8350515463917526,0.5979381443298969,0.08650100266047515
LogisticRegression,0.8073529411764706,0.9857142857142858,0.6995611577964519,0.9600840336134454,0.1546218487394958,0.38152238438985386,0.9937855983093219,0.9974186886938565,0.6616469443741477,0.9897172209322489,0.0,0.4704823970411425,0.9937936372336804,0.9989583333333333,0.6593297546945329,0.9831558638919173,0.0,0.4688592093410511,0.9968976215098242,1.0,0.6640009192232564,0.9948293691830403,0.0,0.4721531279552175,0.5845089302568414,0.9540246805737675,0.7095621409759584,0.875984533425296,0.31236051732946146,0.27096368434651413,0.6280220836327302,0.962009267937103,0.7010941135246326,0.8909930638389661,0.2654328478964401,0.2956417115404013,0.3342702616215659,0.9481111558425815,0.7853729859110159,0.8567954831481095,0.5397643593519882,0.15452203733781428,0.048341836734693944,0.9457364341085271,0.8802233728735221,0.8752788863400685,0.8181818181818182,0.031456320717102935,0.11296466917415893,0.9508196721311475,0.860995568426354,0.8780407191961925,0.73125,0.061321583726822275,0.0714285714285714,0.9841269841269841,0.9052910052910054,0.9126984126984127,0.7777777777777778,0.045673966128247735,0.7218349247187142,0.918918918918919,0.586816105680205,0.7648050072219548,0.11754229741763135,0.32781680000048596,0.7785683332382229,0.9659090909090909,0.5829570174530108,0.8055246570263255,0.06432748538011696,0.36583113850390797,0.11340206185567014,0.9278350515463918,0.7868270332187858,0.7731958762886598,0.5567010309278351,0.07400038471212923
MultinomialNB,0.8,0.9781512605042016,0.6962278244631186,0.9504201680672268,0.15966386554621848,0.3766773749488721,0.9941783734521977,0.9974133471288154,0.6604490970051796,0.9862315145334013,0.0,0.46963909212431365,0.9927890791722849,0.9979296066252588,0.6559774966209854,0.9728370221327968,0.0,0.4665249662581062,0.9989658738366081,1.0,0.6650350453866483,0.9963805584281282,0.0,0.47288907974971095,0.7065462869072859,0.9325871837689329,0.6451148741736699,0.8304396772667715,0.18782218597063624,0.3227481215008433,0.7933575881055173,0.9471376146561278,0.6392479779805804,0.8819819960860678,0.11336001524680771,0.37147222531828644,0.2986154439434857,0.930929025258389,0.7672088732596366,0.8100207772885519,0.561173839524355,0.13394829946752299,0.5013451627968226,0.9253731343283582,0.7100101686459821,0.8565853936424747,0.35365853658536583,0.23793278679819593,0.6221160156530565,0.9133858267716536,0.6421343467733637,0.8241734650064405,0.2188679245283019,0.29023460784999944,0.031746031746031744,0.9841269841269841,0.9197530864197531,0.9206349206349206,0.8253968253968254,0.03094322081749698,0.6117074280320447,0.8854166666666666,0.564885356869848,0.6582128563260639,0.185,0.2685486355062533,0.7663413578797473,0.9777777777777777,0.6196320905473919,0.85239651416122,0.10526315789473684,0.35957887026334245,0.2551546391752577,0.8969072164948454,0.7168384879725086,0.7783505154639175,0.41237113402061853,0.13748387706755671
