,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,ham_f1,ham_f1,ham_f1,ham_f1,ham_f1,ham_f1,ham_precision,ham_precision,ham_precision,ham_precision,ham_precision,ham_precision,ham_recall,ham_recall,ham_recall,ham_recall,ham_recall,ham_recall,macro_f1,macro_f1,macro_f1,macro_f1,macro_f1,macro_f1,macro_precision,macro_precision,macro_precision,macro_precision,macro_precision,macro_precision,macro_recall,macro_recall,macro_recall,macro_recall,macro_recall,macro_recall,smishing_f1,smishing_f1,smishing_f1,smishing_f1,smishing_f1,smishing_f1,smishing_precision,smishing_precision,smishing_precision,smishing_precision,smishing_precision,smishing_precision,smishing_recall,smishing_recall,smishing_recall,smishing_recall,smishing_recall,smishing_recall,spam_f1,spam_f1,spam_f1,spam_f1,spam_f1,spam_f1,spam_precision,spam_precision,spam_precision,spam_precision,spam_precision,spam_precision,spam_recall,spam_recall,spam_recall,spam_recall,spam_recall,spam_recall
,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std
experiment_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combined,0.007563025210084007,0.9915966386554622,0.9798319327731092,0.980672268907563,0.9621848739495799,0.005667327201095453,0.002579710492502829,1.0,0.9966017097623465,0.9963917516185969,0.9922560660815695,0.0015815478365820072,0.002069314024000124,1.0,0.9957708012290141,0.9958677685950413,0.9897225077081192,0.002072797200311305,0.0031023784901758056,1.0,0.9974376651729289,0.9979317476732161,0.9917269906928645,0.002092670296613953,0.028042549127628935,0.9706089160904631,0.9345991799715117,0.9383512244201248,0.8705565620529075,0.018761518848437003,0.02279351674794694,0.9724972000835694,0.9397173807935575,0.9407815892829738,0.8865976497502004,0.01687337131879066,0.02911549834891236,0.9687994327169585,0.931294048660557,0.9368227067323007,0.8633361351140859,0.019967794056915428,0.031691998251744846,0.9644268774703557,0.9233619200068302,0.9267350974668048,0.8582089552238806,0.022014089367266083,0.05140725757310827,0.9666666666666667,0.909458074699224,0.921875,0.8098591549295775,0.03668896228113372,0.029761904761904767,0.9841269841269841,0.9387125220458554,0.9365079365079365,0.873015873015873,0.0215478905191752,0.04821430526295967,0.9479166666666666,0.8838339101453582,0.8923904052936311,0.7586206896551724,0.034544205248687815,0.041512365465694256,0.975609756097561,0.9139232664524343,0.91476388168137,0.8431372549019608,0.028866463427377503,0.07216494845360832,0.9484536082474226,0.8577319587628865,0.8762886597938144,0.6804123711340206,0.05619489145227866
manual_only,0.010084033613445453,0.9672268907563025,0.9564985994397759,0.9571428571428572,0.9420168067226891,0.006228979555317342,0.0035457315595902594,0.9948453608247423,0.9890716528902761,0.9892362890825218,0.9827235772357723,0.0026755417055884237,0.007947794159098631,0.9917780061664954,0.9802816390979263,0.9807204415111047,0.9660339660339661,0.006006441888311932,0.0020682523267838704,1.0,0.9980466505802597,0.9979317476732161,0.9937952430196484,0.001651144707277033,0.04022189426709133,0.9006187120222208,0.8586836957903867,0.8624586371360554,0.7970832721620983,0.02510262259195487,0.025641886867796337,0.9165456914200633,0.8874622666204236,0.8892301632365955,0.8357978749904649,0.01675456963014692,0.04666940639872119,0.8894191796248321,0.8408835780969576,0.845557787052366,0.7762603204612182,0.028527353894416053,0.03861330666913565,0.9068825910931174,0.8650798826374523,0.8695652173913043,0.8097165991902834,0.022032383155281155,0.0632028229322158,0.9316239316239316,0.8622555052829844,0.8666646161417323,0.7647058823529411,0.04121244028387756,0.045634920634920695,0.9523809523809523,0.8701940035273369,0.873015873015873,0.7777777777777778,0.03440593644656333,0.09528384577119187,0.8043478260869565,0.7218995518434318,0.7340425531914894,0.5637583892617449,0.06023516589078028,0.05854568620313072,0.9777777777777777,0.8198496554803602,0.8202247191011236,0.7297297297297297,0.04401485237188698,0.1649484536082474,0.7938144329896907,0.6544100801832761,0.6907216494845361,0.41237113402061853,0.09911505818837865
synthetic_only,0.009243697478991564,0.9890756302521009,0.9747152194211017,0.9747899159663865,0.9630252100840336,0.00618884605955485,0.0020768004880052926,0.999483204134367,0.9951531316404849,0.9953416136588131,0.9907024793388429,0.0017962921470964233,0.0028548281832554423,0.9989669421487604,0.9947243753007476,0.9948373760117357,0.9886831275720165,0.00240825847228324,0.004136504653567741,1.0,0.9955877283695277,0.9958634953464323,0.9906928645294726,0.002479383978400068,0.032864232179194985,0.9639394229162749,0.9193320426156163,0.9178268600954524,0.8733431339970421,0.01998774680262925,0.02864931276050242,0.972204017988294,0.9277549688625206,0.9260678224154928,0.8901634421180028,0.01837446263095269,0.0312979202799456,0.960790948290815,0.9152768200185194,0.91197792860124,0.8651907142882527,0.02021017748790559,0.03663361761476158,0.9581749049429658,0.9054306332381183,0.9056603773584906,0.8529411764705882,0.02388137251163505,0.057796951807324914,0.9448818897637795,0.8698783364129379,0.8669221209610605,0.7945205479452054,0.03781975397332719,0.02182539682539686,1.0,0.944973544973545,0.9444444444444444,0.8968253968253969,0.01936013760415851,0.058767209797027764,0.9361702127659575,0.8574123629682457,0.8547440699126092,0.7558139534883721,0.03669456173771044,0.036468686478894674,1.0,0.9186621948738761,0.922077922077922,0.8666666666666667,0.027910301134678336,0.08762886597938147,0.9072164948453608,0.8052691867124857,0.8041237113402062,0.6701030927835051,0.053388702185571714
