seed,model_name,experiment_id,smishing_f1
16,MultinomialNB,synthetic_only,0.38613861386138615
16,MultinomialNB,combined,0.8984375
16,LogisticRegression,manual_only,0.8583333333333333
16,LogisticRegression,synthetic_only,0.8666666666666667
16,LogisticRegression,combined,0.9186991869918699
16,LinearSVC,manual_only,0.8724279835390947
16,LinearSVC,synthetic_only,0.7283950617283951
16,LinearSVC,combined,0.9354838709677419
17,MultinomialNB,manual_only,0.8449612403100775
17,MultinomialNB,synthetic_only,0.3756019261637239
17,MultinomialNB,combined,0.888030888030888
17,LogisticRegression,manual_only,0.859504132231405
17,LogisticRegression,synthetic_only,0.8782287822878229
17,LogisticRegression,combined,0.9156626506024096
17,LinearSVC,manual_only,0.8559670781893004
17,LinearSVC,synthetic_only,0.7634069400630915
17,LinearSVC,combined,0.9260700389105059
18,MultinomialNB,manual_only,0.8478260869565217
18,MultinomialNB,synthetic_only,0.36817472698907955
18,MultinomialNB,combined,0.8698884758364313
18,LogisticRegression,manual_only,0.8327137546468402
18,LogisticRegression,synthetic_only,0.8362369337979094
18,LogisticRegression,combined,0.8745247148288974
18,LinearSVC,manual_only,0.8475836431226765
18,LinearSVC,synthetic_only,0.6991404011461319
18,LinearSVC,combined,0.8973384030418251
19,MultinomialNB,manual_only,0.8270676691729323
19,MultinomialNB,synthetic_only,0.37881219903691815
19,MultinomialNB,combined,0.8821292775665399
19,LogisticRegression,manual_only,0.8353413654618473
19,LogisticRegression,synthetic_only,0.823943661971831
19,LogisticRegression,combined,0.8784313725490196
19,LinearSVC,manual_only,0.84
19,LinearSVC,synthetic_only,0.6685552407932012
19,LinearSVC,combined,0.9133858267716536
20,MultinomialNB,manual_only,0.8392156862745098
20,MultinomialNB,synthetic_only,0.3901639344262295
20,MultinomialNB,combined,0.9
20,LogisticRegression,manual_only,0.8629032258064516
20,LogisticRegression,synthetic_only,0.9003690036900369
20,LogisticRegression,combined,0.9163346613545816
20,LinearSVC,manual_only,0.856
20,LinearSVC,synthetic_only,0.7202380952380952
20,LinearSVC,combined,0.9243027888446215
21,MultinomialNB,manual_only,0.8721804511278195
21,MultinomialNB,synthetic_only,0.3597560975609756
21,MultinomialNB,combined,0.896551724137931
21,LogisticRegression,manual_only,0.8862745098039215
21,LogisticRegression,synthetic_only,0.8664259927797834
21,LogisticRegression,combined,0.9333333333333333
21,LinearSVC,manual_only,0.8846153846153846
21,LinearSVC,synthetic_only,0.7076023391812866
21,LinearSVC,combined,0.9457364341085271
22,MultinomialNB,manual_only,0.8549019607843137
22,MultinomialNB,synthetic_only,0.35365853658536583
22,MultinomialNB,combined,0.8984375
22,LogisticRegression,manual_only,0.8835341365461847
22,LogisticRegression,synthetic_only,0.8375451263537906
22,LogisticRegression,combined,0.9083665338645418
22,LinearSVC,manual_only,0.8888888888888888
22,LinearSVC,synthetic_only,0.68
22,LinearSVC,combined,0.9169960474308301
23,MultinomialNB,manual_only,0.8593155893536122
23,MultinomialNB,synthetic_only,0.3866877971473851
23,MultinomialNB,combined,0.916030534351145
23,LogisticRegression,manual_only,0.8790322580645161
23,LogisticRegression,synthetic_only,0.8642857142857143
23,LogisticRegression,combined,0.932806324110672
23,LinearSVC,manual_only,0.8844621513944223
23,LinearSVC,synthetic_only,0.7176470588235294
23,LinearSVC,combined,0.9490196078431372
24,MultinomialNB,manual_only,0.8267716535433071
24,MultinomialNB,synthetic_only,0.37400950871632327
24,MultinomialNB,combined,0.8984375
24,LogisticRegression,manual_only,0.8713692946058091
24,LogisticRegression,synthetic_only,0.8654545454545455
24,LogisticRegression,combined,0.9365079365079365
24,LinearSVC,manual_only,0.864
24,LinearSVC,synthetic_only,0.7569230769230769
24,LinearSVC,combined,0.9457364341085271
25,MultinomialNB,manual_only,0.8604651162790697
25,MultinomialNB,synthetic_only,0.379585326953748
25,MultinomialNB,combined,0.8863636363636364
25,LogisticRegression,manual_only,0.8760330578512396
25,LogisticRegression,synthetic_only,0.8428571428571429
25,LogisticRegression,combined,0.9047619047619048
25,LinearSVC,manual_only,0.8816326530612245
25,LinearSVC,synthetic_only,0.6703601108033241
25,LinearSVC,combined,0.9407114624505929
26,MultinomialNB,manual_only,0.8387096774193549
26,MultinomialNB,synthetic_only,0.3778801843317972
26,MultinomialNB,combined,0.8897058823529411
26,LogisticRegression,manual_only,0.8503937007874016
26,LogisticRegression,synthetic_only,0.8344827586206897
26,LogisticRegression,combined,0.9195402298850575
26,LinearSVC,manual_only,0.84375
26,LinearSVC,synthetic_only,0.6951566951566952
26,LinearSVC,combined,0.9307692307692308
27,MultinomialNB,manual_only,0.8387096774193549
27,MultinomialNB,synthetic_only,0.36363636363636365
27,MultinomialNB,combined,0.8818897637795275
27,LogisticRegression,manual_only,0.8448275862068966
27,LogisticRegression,synthetic_only,0.8540145985401459
27,LogisticRegression,combined,0.9016393442622951
