seed,model_name,experiment_id,duplicate_mode,n_train,n_test,accuracy,macro_precision,macro_recall,macro_f1,ham_precision,ham_recall,ham_f1,spam_precision,spam_recall,spam_f1,smishing_precision,smishing_recall,smishing_f1
1,MultinomialNB,manual_only,overlap_aware,4759,1190,0.9512605042016806,0.8814261560178075,0.8108973138610981,0.8293558550558767,0.9777327935222672,0.9989658738366081,0.9882352941176471,0.8596491228070176,0.5051546391752577,0.6363636363636364,0.8068965517241379,0.9285714285714286,0.8634686346863468
1,MultinomialNB,synthetic_only,overlap_aware,3057,1190,0.16638655462184873,0.12046334928380044,0.5862924780450554,0.1970028700287003,0.0,0.0,0.0,0.11033519553072625,0.8144329896907216,0.1943419434194342,0.2510548523206751,0.9444444444444444,0.39666666666666667
1,MultinomialNB,combined,overlap_aware,7816,1190,0.9747899159663865,0.9280436917034857,0.9070452686429403,0.91410626411734,0.9948453608247423,0.9979317476732161,0.996386164171399,0.925,0.7628865979381443,0.8361581920903954,0.8642857142857143,0.9603174603174603,0.9097744360902256
1,LogisticRegression,manual_only,overlap_aware,4759,1190,0.9630252100840336,0.8963918595841612,0.8699362551162677,0.8820016918587932,0.9866939611054247,0.9968976215098242,0.9917695473251029,0.8352941176470589,0.7319587628865979,0.7802197802197802,0.8671875,0.8809523809523809,0.8740157480314961
1,LogisticRegression,synthetic_only,overlap_aware,3057,1190,0.16218487394957984,0.28691353691353694,0.5667375770468553,0.3322531837094944,0.0,0.0,0.0,0.06853281853281853,0.7319587628865979,0.12533097969991175,0.7922077922077922,0.9682539682539683,0.8714285714285714
1,LogisticRegression,combined,overlap_aware,7816,1190,0.9815126050420168,0.9413653812386338,0.9415110358403996,0.9410020786832382,0.9979274611398964,0.9958634953464323,0.9968944099378882,0.9239130434782609,0.8762886597938144,0.8994708994708994,0.9022556390977443,0.9523809523809523,0.9266409266409267
1,LinearSVC,manual_only,overlap_aware,4759,1190,0.9638655462184874,0.9037020731269555,0.8702089873477629,0.8840059336203295,0.9856850715746421,0.9968976215098242,0.9912596401028277,0.8607594936708861,0.7010309278350515,0.7727272727272727,0.8646616541353384,0.9126984126984127,0.888030888030888
1,LinearSVC,synthetic_only,overlap_aware,3057,1190,0.16806722689075632,0.22325251971382318,0.590001636393389,0.29308389708072274,0.0,0.0,0.0,0.07841140529531568,0.7938144329896907,0.14272474513438368,0.5913461538461539,0.9761904761904762,0.7365269461077845
1,LinearSVC,combined,overlap_aware,7816,1190,0.9890756302521009,0.9627799736495389,0.960790948290815,0.9613959909119059,1.0,0.9989658738366081,0.999482669425763,0.9565217391304348,0.9072164948453608,0.9312169312169312,0.9318181818181818,0.9761904761904762,0.9534883720930233
2,MultinomialNB,manual_only,overlap_aware,4759,1190,0.9495798319327731,0.8760233475131379,0.8064692085310642,0.8337111248806347,0.9708835341365462,1.0,0.9852266938359654,0.7910447761194029,0.5463917525773195,0.6463414634146342,0.8661417322834646,0.873015873015873,0.8695652173913043
2,MultinomialNB,synthetic_only,overlap_aware,3057,1190,0.1638655462184874,0.11685618396955261,0.5783559701085474,0.1919888526373029,0.0,0.0,0.0,0.112375533428165,0.8144329896907216,0.1975,0.23819301848049282,0.9206349206349206,0.37846655791190864
2,MultinomialNB,combined,overlap_aware,7816,1190,0.9714285714285714,0.9171755691262878,0.8941624641365576,0.9040891930167708,0.9917864476386037,0.9989658738366081,0.9953632148377125,0.8809523809523809,0.7628865979381443,0.8176795580110497,0.8787878787878788,0.9206349206349206,0.8992248062015504
2,LogisticRegression,manual_only,overlap_aware,4759,1190,0.9605042016806723,0.9052068413514197,0.8519336715213003,0.8766037011102209,0.9767676767676767,1.0,0.9882473173224323,0.8072289156626506,0.6907216494845361,0.7444444444444445,0.9316239316239316,0.8650793650793651,0.897119341563786
2,LogisticRegression,synthetic_only,overlap_aware,3057,1190,0.16302521008403362,0.28640074614196037,0.5741286205203732,0.3287447409064281,0.0,0.0,0.0,0.07396733909702209,0.7938144329896907,0.13532513181019332,0.785234899328859,0.9285714285714286,0.850909090909091
2,LogisticRegression,combined,overlap_aware,7816,1190,0.9789915966386554,0.940993222813054,0.925090299188104,0.9328286519370979,0.9928057553956835,0.9989658738366081,0.9958762886597938,0.9021739130434783,0.8556701030927835,0.8783068783068783,0.928,0.9206349206349206,0.9243027888446215
2,LinearSVC,manual_only,overlap_aware,4759,1190,0.9588235294117647,0.9034451923931396,0.8434789723449517,0.870053914355935,0.9747983870967742,1.0,0.9872383869321082,0.8181818181818182,0.6494845360824743,0.7241379310344828,0.9173553719008265,0.8809523809523809,0.8987854251012146
2,LinearSVC,synthetic_only,overlap_aware,3057,1190,0.16974789915966387,0.22748395132700971,0.601620029455081,0.2941761409461565,0.0,0.0,0.0,0.08551307847082495,0.8762886597938144,0.15582034830430797,0.5969387755102041,0.9285714285714286,0.7267080745341615
2,LinearSVC,combined,overlap_aware,7816,1190,0.984873949579832,0.9554286125603775,0.9490733055163378,0.9521707305449002,0.9958720330237358,0.9979317476732161,0.996900826446281,0.925531914893617,0.8969072164948454,0.9109947643979057,0.9448818897637795,0.9523809523809523,0.9486166007905138
3,MultinomialNB,manual_only,overlap_aware,4759,1190,0.9504201680672268,0.9165456914200633,0.8019963999345442,0.8250041251215428,0.9718592964824121,1.0,0.9857288481141692,0.9777777777777777,0.4536082474226804,0.6197183098591549,0.8,0.9523809523809523,0.8695652173913043
3,MultinomialNB,synthetic_only,overlap_aware,3057,1190,0.17394957983193277,0.12244533767795941,0.6132656957399225,0.20200377448276607,0.0,0.0,0.0,0.12081513828238719,0.8556701030927835,0.21173469387755103,0.24652087475149106,0.9841269841269841,0.3942766295707472
3,MultinomialNB,combined,overlap_aware,7816,1190,0.9781512605042016,0.9471376146561278,0.9215099200919945,0.9297660675162428,0.9938144329896907,0.9968976215098242,0.9953536396489416,0.9743589743589743,0.7835051546391752,0.8685714285714285,0.8732394366197183,0.9841269841269841,0.9253731343283582
3,LogisticRegression,manual_only,overlap_aware,4759,1190,0.9630252100840336,0.9068654019873531,0.8629618968535162,0.8825039584059295,0.9817073170731707,0.9989658738366081,0.9902614044079959,0.85,0.7010309278350515,0.768361581920904,0.8888888888888888,0.8888888888888888,0.8888888888888888
3,LogisticRegression,synthetic_only,overlap_aware,3057,1190,0.1672268907563025,0.29601460298144205,0.5857742868052146,0.34141497374787394,0.0,0.0,0.0,0.07225433526011561,0.7731958762886598,0.13215859030837004,0.8157894736842105,0.9841269841269841,0.8920863309352518
3,LogisticRegression,combined,overlap_aware,7816,1190,0.9857142857142858,0.962009267937103,0.9478361672947969,0.9540246805737675,0.9958762886597938,0.9989658738366081,0.9974186886938565,0.9659090909090909,0.8762886597938144,0.918918918918919,0.9242424242424242,0.9682539682539683,0.9457364341085271
3,LinearSVC,manual_only,overlap_aware,4759,1190,0.9630252100840336,0.9017008858655435,0.8629618968535162,0.8802326720455417,0.9837067209775967,0.9989658738366081,0.991277578245254,0.8395061728395061,0.7010309278350515,0.7640449438202247,0.8818897637795275,0.8888888888888888,0.8853754940711462
3,LinearSVC,synthetic_only,overlap_aware,3057,1190,0.17563025210084032,0.22731226208514665,0.6185567010309279,0.30068319121632303,0.0,0.0,0.0,0.08478038815117467,0.8556701030927835,0.15427509293680297,0.5971563981042654,1.0,0.7477744807121661
3,LinearSVC,combined,overlap_aware,7816,1190,0.9857142857142858,0.9607433927862462,0.9478361672947969,0.9536045085766546,0.9958762886597938,0.9989658738366081,0.9974186886938565,0.9550561797752809,0.8762886597938144,0.9139784946236559,0.9312977099236641,0.9682539682539683,0.9494163424124513
4,MultinomialNB,manual_only,overlap_aware,4759,1190,0.9596638655462185,0.9004394861392834,0.842960781105111,0.8636396919085912,0.9807302231237323,1.0,0.9902713773681515,0.8676470588235294,0.6082474226804123,0.7151515151515152,0.8529411764705882,0.9206349206349206,0.8854961832061069
4,MultinomialNB,synthetic_only,overlap_aware,3057,1190,0.17058823529411765,0.12129225344894738,0.6050564555719194,0.19938893382022563,0.0,0.0,0.0,0.12164073550212164,0.8865979381443299,0.21393034825870647,0.2422360248447205,0.9285714285714286,0.3842364532019704
4,MultinomialNB,combined,overlap_aware,7816,1190,0.9781512605042016,0.9343191265402395,0.930929025258389,0.9325871837689329,0.9948347107438017,0.9958634953464323,0.9953488372093023,0.8947368421052632,0.8762886597938144,0.8854166666666666,0.9133858267716536,0.9206349206349206,0.9169960474308301
4,LogisticRegression,manual_only,overlap_aware,4759,1190,0.9647058823529412,0.9053304581394469,0.8776000308212805,0.8909607887713329,0.9846782431052093,0.9968976215098242,0.9907502569373073,0.8222222222222222,0.7628865979381443,0.7914438502673797,0.9090909090909091,0.873015873015873,0.8906882591093117
4,LogisticRegression,synthetic_only,overlap_aware,3057,1190,0.1672268907563025,0.2954085437306914,0.5897289041618938,0.33738191632928477,0.0,0.0,0.0,0.07670182166826463,0.8247422680412371,0.14035087719298245,0.8095238095238095,0.9444444444444444,0.8717948717948718
4,LogisticRegression,combined,overlap_aware,7816,1190,0.9823529411764705,0.9433556744151689,0.9481111558425815,0.9454617233378033,0.9968944099378882,0.9958634953464323,0.9963786859803414,0.8823529411764706,0.9278350515463918,0.9045226130653267,0.9508196721311475,0.9206349206349206,0.9354838709677419
4,LinearSVC,manual_only,overlap_aware,4759,1190,0.9663865546218487,0.9071268139047803,0.8828910361122858,0.8944894906854285,0.9866939611054247,0.9968976215098242,0.9917695473251029,0.8314606741573034,0.7628865979381443,0.7956989247311828,0.9032258064516129,0.8888888888888888,0.896
4,LinearSVC,synthetic_only,overlap_aware,3057,1190,0.17563025210084032,0.24836128158584725,0.6225113183876071,0.3134033281665838,0.0,0.0,0.0,0.0874751491053678,0.9072164948453608,0.15956482320942883,0.657608695652174,0.9603174603174603,0.7806451612903226
4,LinearSVC,combined,overlap_aware,7816,1190,0.9873949579831933,0.9611908068116494,0.9601735073381893,0.9606035808053179,0.996900826446281,0.9979317476732161,0.9974160206718347,0.9191919191919192,0.9381443298969072,0.9285714285714286,0.967479674796748,0.9444444444444444,0.9558232931726908
5,MultinomialNB,manual_only,overlap_aware,4759,1190,0.9420168067226891,0.8577821578839736,0.7762603204612182,0.7970832721620983,0.9698795180722891,0.9989658738366081,0.9842078451349975,0.8076923076923077,0.4329896907216495,0.5637583892617449,0.795774647887324,0.8968253968253969,0.8432835820895522
5,MultinomialNB,synthetic_only,overlap_aware,3057,1190,0.15966386554621848,0.11448539212507654,0.561173839524355,0.18782218597063624,0.0,0.0,0.0,0.10526315789473684,0.7628865979381443,0.185,0.23819301848049282,0.9206349206349206,0.37846655791190864
5,MultinomialNB,combined,overlap_aware,7816,1190,0.9663865546218487,0.8930325274198792,0.8813091891696141,0.8851996343580565,0.9958677685950413,0.9968976215098242,0.9963824289405685,0.8571428571428571,0.7422680412371134,0.7955801104972375,0.8260869565217391,0.9047619047619048,0.8636363636363636
5,LogisticRegression,manual_only,overlap_aware,4759,1190,0.9554621848739496,0.8699574842476413,0.8407342199866642,0.8547787170538167,0.9847094801223242,0.9989658738366081,0.9917864476386037,0.7692307692307693,0.7216494845360825,0.7446808510638298,0.8559322033898306,0.8015873015873016,0.8278688524590164
5,LogisticRegression,synthetic_only,overlap_aware,3057,1190,0.16134453781512606,0.282724383013679,0.5656739213440244,0.32726479679884696,0.0,0.0,0.0,0.0703953712632594,0.7525773195876289,0.12874779541446207,0.7777777777777778,0.9444444444444444,0.8530465949820788
5,LogisticRegression,combined,overlap_aware,7816,1190,0.9705882352941176,0.9082838955008619,0.9047467310348578,0.9064648294385425,0.9938080495356038,0.9958634953464323,0.9948347107438017,0.8367346938775511,0.845360824742268,0.841025641025641,0.8943089430894309,0.873015873015873,0.8835341365461847
5,LinearSVC,manual_only,overlap_aware,4759,1190,0.9512605042016806,0.857958580193483,0.8212512954780995,0.8384296110698225,0.9827235772357723,1.0,0.99128651973347,0.7647058823529411,0.6701030927835051,0.7142857142857143,0.8264462809917356,0.7936507936507936,0.8097165991902834
5,LinearSVC,synthetic_only,overlap_aware,3057,1190,0.16554621848739495,0.2211794808303413,0.5820651284568811,0.2891348496778745,0.0,0.0,0.0,0.07817258883248732,0.7938144329896907,0.1423290203327172,0.5853658536585366,0.9523809523809523,0.7250755287009063
