seed,model_name,experiment_id,duplicate_mode,n_train,n_test,accuracy,macro_precision,macro_recall,macro_f1,ham_precision,ham_recall,ham_f1,spam_precision,spam_recall,spam_f1,smishing_precision,smishing_recall,smishing_f1
1,MultinomialNB,manual_only,drop_exact_duplicates,4759,1190,0.9512605042016806,0.8814261560178075,0.8108973138610981,0.8293558550558767,0.9777327935222672,0.9989658738366081,0.9882352941176471,0.8596491228070176,0.5051546391752577,0.6363636363636364,0.8068965517241379,0.9285714285714286,0.8634686346863468
1,MultinomialNB,synthetic_only,drop_exact_duplicates,4759,1190,0.9705882352941176,0.9199403081390659,0.9014390841702434,0.9052228214509465,0.994824016563147,0.9937952430196484,0.9943093636833937,0.935064935064935,0.7422680412371134,0.8275862068965517,0.8299319727891157,0.9682539682539683,0.8937728937728938
1,MultinomialNB,combined,drop_exact_duplicates,11151,1190,0.9840336134453781,0.94674688057041,0.94096331506112,0.9426925588822415,1.0,0.9989658738366081,0.999482669425763,0.9431818181818182,0.8556701030927835,0.8972972972972973,0.8970588235294118,0.9682539682539683,0.9312977099236641
1,LogisticRegression,manual_only,drop_exact_duplicates,4759,1190,0.9630252100840336,0.8963918595841612,0.8699362551162677,0.8820016918587932,0.9866939611054247,0.9968976215098242,0.9917695473251029,0.8352941176470589,0.7319587628865979,0.7802197802197802,0.8671875,0.8809523809523809,0.8740157480314961
1,LogisticRegression,synthetic_only,drop_exact_duplicates,4759,1190,0.9714285714285714,0.918064182194617,0.9033656398340456,0.906797035270384,0.9958592132505176,0.9948293691830403,0.9953440248318676,0.925,0.7628865979381443,0.8361581920903954,0.8333333333333334,0.9523809523809523,0.8888888888888888
1,LogisticRegression,combined,drop_exact_duplicates,11151,1190,0.9840336134453781,0.9490372929060321,0.9471467498525357,0.9472954720331032,0.9989637305699481,0.9968976215098242,0.9979296066252588,0.9444444444444444,0.8762886597938144,0.9090909090909091,0.9037037037037037,0.9682539682539683,0.9348659003831418
1,LinearSVC,manual_only,drop_exact_duplicates,4759,1190,0.9638655462184874,0.9037020731269555,0.8702089873477629,0.8840059336203295,0.9856850715746421,0.9968976215098242,0.9912596401028277,0.8607594936708861,0.7010309278350515,0.7727272727272727,0.8646616541353384,0.9126984126984127,0.888030888030888
1,LinearSVC,synthetic_only,drop_exact_duplicates,4759,1190,0.980672268907563,0.943005445118429,0.9326101219138457,0.9349096477584472,0.9989637305699481,0.9968976215098242,0.9979296066252588,0.963855421686747,0.8247422680412371,0.8888888888888888,0.8661971830985915,0.9761904761904762,0.917910447761194
1,LinearSVC,combined,drop_exact_duplicates,11151,1190,0.9899159663865547,0.9642269736842105,0.9627175039546173,0.9634186351706037,1.0,1.0,1.0,0.9473684210526315,0.9278350515463918,0.9375,0.9453125,0.9603174603174603,0.952755905511811
2,MultinomialNB,manual_only,drop_exact_duplicates,4759,1190,0.9495798319327731,0.8760233475131379,0.8064692085310642,0.8337111248806347,0.9708835341365462,1.0,0.9852266938359654,0.7910447761194029,0.5463917525773195,0.6463414634146342,0.8661417322834646,0.873015873015873,0.8695652173913043
2,MultinomialNB,synthetic_only,drop_exact_duplicates,4759,1190,0.9714285714285714,0.9202198776304198,0.8956723345895939,0.9052778129014972,0.9917780061664954,0.9979317476732161,0.9948453608247423,0.9012345679012346,0.7525773195876289,0.8202247191011236,0.8676470588235294,0.9365079365079365,0.9007633587786259
2,MultinomialNB,combined,drop_exact_duplicates,11151,1190,0.9756302521008403,0.9318356631725931,0.9058801069110348,0.9165890179135668,0.9928131416837782,1.0,0.996393611540443,0.9146341463414634,0.7731958762886598,0.8379888268156425,0.8880597014925373,0.9444444444444444,0.9153846153846154
2,LogisticRegression,manual_only,drop_exact_duplicates,4759,1190,0.9605042016806723,0.9052068413514197,0.8519336715213003,0.8766037011102209,0.9767676767676767,1.0,0.9882473173224323,0.8072289156626506,0.6907216494845361,0.7444444444444445,0.9316239316239316,0.8650793650793651,0.897119341563786
2,LogisticRegression,synthetic_only,drop_exact_duplicates,4759,1190,0.9747899159663865,0.9287895050685749,0.9048164512082036,0.9157381705812724,0.9917948717948718,1.0,0.995880535530381,0.8953488372093024,0.7938144329896907,0.8415300546448088,0.8992248062015504,0.9206349206349206,0.9098039215686274
2,LogisticRegression,combined,drop_exact_duplicates,11151,1190,0.9789915966386554,0.940993222813054,0.925090299188104,0.9328286519370979,0.9928057553956835,0.9989658738366081,0.9958762886597938,0.9021739130434783,0.8556701030927835,0.8783068783068783,0.928,0.9206349206349206,0.9243027888446215
