seed,model_name,experiment_id,smishing_f1
16,MultinomialNB,synthetic_only,0.9182879377431906
16,MultinomialNB,combined,0.921875
16,LogisticRegression,manual_only,0.8583333333333333
16,LogisticRegression,synthetic_only,0.9069767441860463
16,LogisticRegression,combined,0.9224489795918368
16,LinearSVC,manual_only,0.8724279835390947
16,LinearSVC,synthetic_only,0.9365079365079364
16,LinearSVC,combined,0.9392712550607288
17,MultinomialNB,manual_only,0.8449612403100775
17,MultinomialNB,synthetic_only,0.9153846153846154
17,MultinomialNB,combined,0.9111969111969112
17,LogisticRegression,manual_only,0.859504132231405
17,LogisticRegression,synthetic_only,0.9153846153846154
17,LogisticRegression,combined,0.935483870967742
17,LinearSVC,manual_only,0.8559670781893004
17,LinearSVC,synthetic_only,0.9457364341085271
17,LinearSVC,combined,0.9407114624505928
18,MultinomialNB,manual_only,0.8478260869565217
18,MultinomialNB,synthetic_only,0.8897058823529411
18,MultinomialNB,combined,0.8888888888888888
18,LogisticRegression,manual_only,0.8327137546468402
18,LogisticRegression,synthetic_only,0.8759124087591241
18,LogisticRegression,combined,0.896551724137931
18,LinearSVC,manual_only,0.8475836431226765
18,LinearSVC,synthetic_only,0.9070631970260224
18,LinearSVC,combined,0.900763358778626
19,MultinomialNB,manual_only,0.8270676691729323
19,MultinomialNB,synthetic_only,0.9022556390977444
19,MultinomialNB,combined,0.8973384030418251
19,LogisticRegression,manual_only,0.8353413654618473
19,LogisticRegression,synthetic_only,0.8905660377358491
19,LogisticRegression,combined,0.8992248062015504
19,LinearSVC,manual_only,0.84
19,LinearSVC,synthetic_only,0.9224806201550388
19,LinearSVC,combined,0.9140625
20,MultinomialNB,manual_only,0.8392156862745098
20,MultinomialNB,synthetic_only,0.8947368421052632
20,MultinomialNB,combined,0.9015151515151516
20,LogisticRegression,manual_only,0.8629032258064516
20,LogisticRegression,synthetic_only,0.9384615384615383
20,LogisticRegression,combined,0.9291338582677166
20,LinearSVC,manual_only,0.856
20,LinearSVC,synthetic_only,0.9457364341085271
20,LinearSVC,combined,0.924901185770751
21,MultinomialNB,manual_only,0.8721804511278195
21,MultinomialNB,synthetic_only,0.9015151515151516
21,MultinomialNB,combined,0.9307692307692308
21,LogisticRegression,manual_only,0.8862745098039215
21,LogisticRegression,synthetic_only,0.9166666666666666
21,LogisticRegression,combined,0.9448818897637796
21,LinearSVC,manual_only,0.8846153846153846
21,LinearSVC,synthetic_only,0.9457364341085271
21,LinearSVC,combined,0.953125
22,MultinomialNB,manual_only,0.8549019607843137
22,MultinomialNB,synthetic_only,0.9
22,MultinomialNB,combined,0.9069767441860463
22,LogisticRegression,manual_only,0.8835341365461847
22,LogisticRegression,synthetic_only,0.8931297709923665
22,LogisticRegression,combined,0.9243027888446216
22,LinearSVC,manual_only,0.8888888888888888
22,LinearSVC,synthetic_only,0.9375
22,LinearSVC,combined,0.9444444444444444
23,MultinomialNB,manual_only,0.8593155893536122
23,MultinomialNB,synthetic_only,0.9172932330827068
23,MultinomialNB,combined,0.9172932330827068
23,LogisticRegression,manual_only,0.8790322580645161
23,LogisticRegression,synthetic_only,0.9166666666666666
23,LogisticRegression,combined,0.9490196078431372
23,LinearSVC,manual_only,0.8844621513944223
23,LinearSVC,synthetic_only,0.9494163424124512
23,LinearSVC,combined,0.952755905511811
24,MultinomialNB,manual_only,0.8267716535433071
24,MultinomialNB,synthetic_only,0.9056603773584906
24,MultinomialNB,combined,0.9111969111969112
24,LogisticRegression,manual_only,0.8713692946058091
24,LogisticRegression,synthetic_only,0.9153846153846154
24,LogisticRegression,combined,0.9285714285714286
24,LinearSVC,manual_only,0.864
24,LinearSVC,synthetic_only,0.9416342412451362
24,LinearSVC,combined,0.9448818897637796
25,MultinomialNB,manual_only,0.8604651162790697
25,MultinomialNB,synthetic_only,0.8773234200743495
25,MultinomialNB,combined,0.8838951310861424
25,LogisticRegression,manual_only,0.8760330578512396
25,LogisticRegression,synthetic_only,0.8745247148288974
25,LogisticRegression,combined,0.9083665338645418
25,LinearSVC,manual_only,0.8816326530612245
25,LinearSVC,synthetic_only,0.9176470588235294
25,LinearSVC,combined,0.928
26,MultinomialNB,manual_only,0.8387096774193549
26,MultinomialNB,synthetic_only,0.9070631970260224
26,MultinomialNB,combined,0.9070631970260224
26,LogisticRegression,manual_only,0.8503937007874016
26,LogisticRegression,synthetic_only,0.8996282527881041
26,LogisticRegression,combined,0.9348659003831418
26,LinearSVC,manual_only,0.84375
26,LinearSVC,synthetic_only,0.9384615384615383
26,LinearSVC,combined,0.9465648854961832
27,MultinomialNB,manual_only,0.8387096774193549
27,MultinomialNB,synthetic_only,0.8725868725868726
27,MultinomialNB,combined,0.8941176470588236
27,LogisticRegression,manual_only,0.8448275862068966
27,LogisticRegression,synthetic_only,0.9011857707509882
27,LogisticRegression,combined,0.9016393442622952
27,LinearSVC,manual_only,0.8376068376068376
27,LinearSVC,synthetic_only,0.9163346613545816
27,LinearSVC,combined,0.926829268292683
28,MultinomialNB,manual_only,0.8549618320610687
28,MultinomialNB,synthetic_only,0.8913857677902621
28,MultinomialNB,combined,0.8939393939393939
28,LogisticRegression,manual_only,0.8861788617886179
28,LogisticRegression,synthetic_only,0.9195402298850576
28,LogisticRegression,combined,0.9243027888446216
28,LinearSVC,manual_only,0.8809523809523809
