model_name,manual_only,synthetic_only,combined
LinearSVC,0.8701796064971966,0.9332696405779626,0.9393489882255301
LogisticRegression,0.8678114421044015,0.9051268212356457,0.9245358025828649
MultinomialNB,0.8572485993107587,0.8995220446551362,0.9062009692120951
