,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,ham_f1,ham_f1,ham_f1,ham_f1,ham_f1,ham_f1,ham_precision,ham_precision,ham_precision,ham_precision,ham_precision,ham_precision,ham_recall,ham_recall,ham_recall,ham_recall,ham_recall,ham_recall,macro_f1,macro_f1,macro_f1,macro_f1,macro_f1,macro_f1,macro_precision,macro_precision,macro_precision,macro_precision,macro_precision,macro_precision,macro_recall,macro_recall,macro_recall,macro_recall,macro_recall,macro_recall,smishing_f1,smishing_f1,smishing_f1,smishing_f1,smishing_f1,smishing_f1,smishing_precision,smishing_precision,smishing_precision,smishing_precision,smishing_precision,smishing_precision,smishing_recall,smishing_recall,smishing_recall,smishing_recall,smishing_recall,smishing_recall,spam_f1,spam_f1,spam_f1,spam_f1,spam_f1,spam_f1,spam_precision,spam_precision,spam_precision,spam_precision,spam_precision,spam_precision,spam_recall,spam_recall,spam_recall,spam_recall,spam_recall,spam_recall
,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std,iqr,max,mean,median,min,std
model_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LinearSVC,0.021428571428571463,0.9915966386554622,0.975873015873016,0.9815126050420168,0.9512605042016806,0.011902990013302622,0.006151661723931112,1.0,0.9952404401359957,0.9968976181920846,0.9856850715746421,0.003535945734906676,0.011215297695604698,1.0,0.9920853022743847,0.9948559670781894,0.974721941354904,0.006648284013875228,0.0010341261633919352,1.0,0.9984373204642077,0.9989658738366081,0.9948293691830403,0.001344716520489224,0.06630184173737197,0.9706089160904631,0.9218504204907739,0.9410951956323188,0.8353906834848907,0.03830728314257241,0.054240464306539504,0.9724972000835694,0.9318566838276477,0.9454092005271759,0.857958580193483,0.03195532397665067,0.07703870445477501,0.9687994327169585,0.9138560348867614,0.9365139862559877,0.8183603338242514,0.043672141225955675,0.0588502692104198,0.9644268774703557,0.9142660784335631,0.9267350974668048,0.8097165991902834,0.03604898728622466,0.048285714285714265,0.9666666666666667,0.9082572481448058,0.9101419133839002,0.7972027972027972,0.034666440270662575,0.07142857142857151,0.9841269841269841,0.921252204585538,0.9365079365079365,0.7777777777777778,0.04661609168565168,0.13357261283868505,0.9479166666666666,0.8560447429027628,0.9018641585942779,0.6744186046511628,0.07740598488479344,0.11104340723905937,0.9775280898876404,0.8952275010637523,0.9234767025089605,0.7378640776699029,0.06509060452343211,0.14432989690721654,0.9484536082474226,0.8218785796105385,0.8608247422680413,0.5979381443298969,0.09197594139261762
LogisticRegression,0.015756302521008347,0.9865546218487395,0.971437908496732,0.9747899159663865,0.9445378151260504,0.009712488014398023,0.0046060862664802915,0.9984496124031008,0.9938895599228745,0.9948400412796697,0.9851814001021972,0.003110805474885685,0.009919508145038614,0.9989648033126294,0.9913559743301666,0.9938176181426311,0.9737373737373738,0.00636471259578756,0.0020682523267838704,1.0,0.9964609904630587,0.9968976215098242,0.9917269906928645,0.0017943613473866485,0.051988476125191085,0.9573234038102036,0.9095290356045496,0.918227054927296,0.8129432382063961,0.031147764034992198,0.037154253211910016,0.9633015802759269,0.9184042332165571,0.924999913013703,0.8357978749904649,0.02577410109206685,0.059539342851265276,0.9530574524124562,0.90298131489953,0.9148613033915649,0.7982894979025001,0.036553471494757184,0.041679007008944224,0.9490196078431372,0.8991580219743041,0.9019474916800196,0.8185328185328186,0.030021840770794044,0.055532340116279055,0.9583333333333334,0.8925263743705864,0.8938757830201253,0.7832167832167832,0.034950241269372705,0.0714285714285714,0.9682539682539683,0.9076719576719576,0.9206349206349206,0.7777777777777778,0.04610042047355304,0.10210496738388952,0.925531914893617,0.8355395249164702,0.8586671978147052,0.631578947368421,0.06322997296694714,0.09420253467240558,0.9629629629629629,0.8713303509489183,0.8888888888888888,0.7297297297297297,0.06083099742583994,0.11340206185567014,0.9278350515463918,0.8048109965635739,0.8144329896907216,0.5567010309278351,0.07720637296082127
MultinomialNB,0.024159663865546244,0.9840336134453781,0.9664799253034546,0.9722689075630252,0.9420168067226891,0.01236157047213148,0.008512916587803954,0.999482669425763,0.9924369177176229,0.994312304580715,0.9827235772357723,0.0045792767910823075,0.018867651083459114,1.0,0.9881147780459654,0.9938207967417589,0.9660339660339661,0.010485973807389552,0.004136504653567741,1.0,0.9968746409284156,0.9979317476732161,0.9906928645294726,0.0026489174229202147,0.0773468269381109,0.9454315886134067,0.8899285319784364,0.9122170011970687,0.7970832721620983,0.04352518991536088,0.037980601373453826,0.9567754573730828,0.9119419895235508,0.9182647673924201,0.8557894869400803,0.0253389127077916,0.10068874195757205,0.9430928827830712,0.8795714975206939,0.9088153628740416,0.7762603204612182,0.05247285829807202,0.04385387300343446,0.9393939393939394,0.8876572043926634,0.8914293180036582,0.8226415094339623,0.028655427569556902,0.04864527710649025,0.921875,0.8524751156436992,0.8566289825282631,0.7647058823529411,0.034670004680930545,0.045634920634920584,0.9841269841269841,0.9267195767195766,0.9365079365079365,0.8253968253968254,0.03295044517864267,0.18498635478876257,0.90625,0.7896914738250228,0.8461538461538461,0.5637583892617449,0.10126896946524472,0.0589794172828606,0.9777777777777777,0.8952360748809879,0.9075113605987704,0.7432432432432432,0.0461515389521742,0.2551546391752577,0.8969072164948454,0.7151202749140892,0.7835051546391752,0.41237113402061853,0.13554409470538983
